name,brand,price,rating,search_input
boys pack 5 patterned ankle length socks,MARC,577,4.3,Socks
men solid combed cotton shoe liners,SockSoho,249,4.0,Socks
men pack 3 socks,Ajile by Pantaloons,349,0.0,Socks
3 stripe affair lowcut socks,Reebok,489,0.0,Socks
boys pack 7 socks,Marks & Spencer,799,4.5,Socks
women pack 4 assorted ankle-length socks,Bonjour,250,4.5,Socks
women set 3 socks,HRX by Hrithik Roshan,223,4.3,Socks
men pack 3 socks,Mast & Harbour,233,3.5,Socks
women pack 4 solid ankle-length socks,N2S NEXT2SKIN,360,4.6,Socks
girls pack 2 lace socks,Yellow Bee,424,4.9,Socks
men pack 3 assorted dc heroes patterned ankle-length socks,Justice League,447,4.6,Socks
pack 4 ankle-length socks,DressBerry,332,4.4,Socks
men pack 3 socks,max,299,0.0,Socks
men pack 3 solid ankle-length socks,Allen Solly,425,4.4,Socks
men pack 3 shoe liners sock,WROGN,292,4.3,Socks
men pack 5 cotton socks,Dollar Socks,419,4.1,Socks
women pack 3 solid ankle length socks,Honey by Pantaloons,299,4.6,Socks
pack 2 socks,Dynamocks,476,4.5,Socks
men solid calf-length socks,SockSoho,299,4.1,Socks
men pack 3 solid cotton socks,Jockey,447,4.5,Socks
women running socks,HRX by Hrithik Roshan,321,4.5,Socks
kids pack 5 ankle socks,Heelium,549,0.0,Socks
men solid shoe liners,Jack & Jones,229,4.3,Socks
men pack 3 solid calf-length socks,Allen Solly,479,4.6,Socks
men pack 5 socks,Dollar Socks,314,4.1,Socks
women pack 3 cotton socks,N2S NEXT2SKIN,390,0.0,Socks
women training socks,HRX by Hrithik Roshan,321,4.5,Socks
women pack 2 ankle socks,Jockey,239,4.6,Socks
men lifestyle socks,HRX by Hrithik Roshan,249,4.3,Socks
men pack 3 solid socks,Allen Solly,449,4.4,Socks
pack 3 warm winter socks,Alexvyan,499,4.5,Socks
men pack 3 solid calf-length socks,Allen Solly,479,4.5,Socks
men pack 3 assorted ankle-length socks,ADIDAS,474,4.3,Socks
men pack 3 socks,Mast & Harbour,233,4.3,Socks
men pack 3 calf-length socks,Jockey,477,4.6,Socks
men shoe liner socks,Bonjour,448,4.5,Socks
men pack 3 socks,Mast & Harbour,233,4.5,Socks
men pack 3 patterned socks,max,349,0.0,Socks
pack 3 cotton socks,Campus,349,4.0,Socks
shoeliner socks,Balenzia,305,4.3,Socks
pack 3 black & grey socks,Jockey,477,4.5,Socks
